Date,Open Price,Close Price,High Price,Low Price,Volume
07-Jun-2013,13840.09,14005.01,14028.85,13839.77,246664384
10-Jun-2013,14005.06,14025.19,14059.73,13988.62,202004528
11-Jun-2013,14025.18,13806.10,14025.18,13735.13,303277696
12-Jun-2013,13805.95,13764.53,13859.60,13749.02,243710320
13-Jun-2013,13764.58,13677.87,13764.58,13543.31,265123584
14-Jun-2013,13677.92,13822.44,13862.74,13677.92,236413200
17-Jun-2013,13822.42,13907.35,13943.77,13821.83,205723328
18-Jun-2013,13907.41,13994.39,14019.63,13891.51,236202432
19-Jun-2013,13994.33,14010.36,14010.36,13898.70,258980864
20-Jun-2013,14010.74,13667.38,14010.74,13646.06,311576320
21-Jun-2013,13667.29,13544.94,13828.71,13544.94,455420128
24-Jun-2013,13544.98,13272.23,13547.77,13260.91,325865248
25-Jun-2013,13272.12,13458.57,13473.18,13272.12,245187152
26-Jun-2013,13458.55,13609.07,13656.28,13458.54,287678208
27-Jun-2013,13609.08,13802.55,13821.90,13577.53,263289360
28-Jun-2013,13802.52,13798.22,13861.58,13708.41,264525184
01-Jul-2013,13798.19,14030.67,14034.48,13798.19,225774096
02-Jul-2013,14030.69,14009.94,14066.10,13941.75,248604912
03-Jul-2013,14009.99,13967.46,14009.99,13802.80,221855264
04-Jul-2013,13967.48,14319.03,14319.03,13967.48,253973888
05-Jul-2013,14319.09,14266.42,14454.00,14235.23,252430816
08-Jul-2013,14266.45,14473.22,14522.61,14266.05,232303280
09-Jul-2013,14473.16,14620.58,14639.02,14473.16,276627648
10-Jul-2013,14620.49,14531.23,14620.89,14406.76,244047504
11-Jul-2013,14530.98,14640.95,14712.93,14530.98,253661584
12-Jul-2013,14640.94,14699.38,14716.73,14640.47,232507280
15-Jul-2013,14699.44,14761.99,14805.76,14699.02,205440336
16-Jul-2013,14761.95,14682.24,14782.83,14672.97,229790848
17-Jul-2013,14682.30,14724.28,14726.90,14594.81,273564544
18-Jul-2013,14724.31,14819.80,14826.91,14712.81,207973088
19-Jul-2013,14819.75,14814.90,14844.81,14746.04,182534416
22-Jul-2013,14814.86,14849.57,14863.60,14788.99,180018048
23-Jul-2013,14849.57,14822.21,14897.98,14822.21,198804480
24-Jul-2013,14822.19,14835.13,14886.50,14789.24,204790224
25-Jul-2013,14835.15,14767.89,14838.76,14699.22,179106368
26-Jul-2013,14767.81,14725.57,14828.14,14701.51,158441056
29-Jul-2013,14725.55,14737.40,14802.69,14697.89,157775984
30-Jul-2013,14737.42,14829.92,14845.51,14737.42,202382384
31-Jul-2013,14830.00,14872.86,14908.24,14805.42,243062368
01-Aug-2013,14872.93,15061.21,15061.21,14872.83,285094528
02-Aug-2013,15061.30,15131.97,15142.53,15059.43,267839920
05-Aug-2013,15131.99,15197.18,15231.87,15131.57,202945840
06-Aug-2013,15197.17,15115.10,15222.18,15073.32,256090528
07-Aug-2013,15115.18,14970.05,15115.18,14967.23,220420928
08-Aug-2013,14970.07,15086.21,15123.90,14969.85,203019072
09-Aug-2013,15086.20,15125.39,15162.55,15086.06,209836432
12-Aug-2013,15125.44,15076.89,15163.26,15058.59,199328000
13-Aug-2013,15076.91,15100.82,15161.16,15076.65,211259712
14-Aug-2013,15100.86,15086.34,15122.03,15069.74,231419952
15-Aug-2013,15086.34,14693.00,15087.97,14671.68,279843008
16-Aug-2013,14692.90,14834.57,14834.57,14685.72,234096976
19-Aug-2013,14834.54,14865.21,14893.29,14783.70,190990016
20-Aug-2013,14865.24,14774.07,14865.24,14708.96,173715328
21-Aug-2013,14774.10,14743.05,14804.35,14731.62,184174480
22-Aug-2013,14743.14,14853.59,14874.42,14728.64,192374496
23-Aug-2013,14853.56,14953.10,15000.37,14834.79,171279792
27-Aug-2013,14953.14,14767.99,14953.19,14740.56,219794480
28-Aug-2013,14768.03,14625.76,14768.03,14585.26,245608672
29-Aug-2013,14625.77,14735.80,14750.85,14625.46,234348752
30-Aug-2013,14735.75,14625.18,14754.58,14622.00,234161392
