,X1,X2,X3,X4,X5,X6
229,Sunday  4 November 2018,OIL/GBP,48.42,OIL GBP rate for Sunday  4 November 2018,NA,NA
230,Saturday  3 November 2018,OIL/GBP,48.4659,OIL GBP rate for Saturday  3 November 2018,NA,NA
231,Friday  2 November 2018,OIL/GBP,48.4659,OIL GBP rate for Friday  2 November 2018,NA,NA
232,Thursday  1 November 2018,OIL/GBP,48.917,OIL GBP rate for Thursday  1 November 2018,NA,NA
233,Wednesday 31 October 2018,OIL/GBP,50.8946,OIL GBP rate for Wednesday 31 October 2018,NA,NA
234,Tuesday 30 October 2018,OIL/GBP,52.2781,OIL GBP rate for Tuesday 30 October 2018,NA,NA
235,Monday 29 October 2018,OIL/GBP,52.0747,OIL GBP rate for Monday 29 October 2018,NA,NA
236,Sunday 28 October 2018,OIL/GBP,52.7511,OIL GBP rate for Sunday 28 October 2018,NA,NA
237,Saturday 27 October 2018,OIL/GBP,52.6874,OIL GBP rate for Saturday 27 October 2018,NA,NA
238,Friday 26 October 2018,OIL/GBP,52.6726,OIL GBP rate for Friday 26 October 2018,NA,NA
239,Thursday 25 October 2018,OIL/GBP,52.2279,OIL GBP rate for Thursday 25 October 2018,NA,NA
240,Wednesday 24 October 2018,OIL/GBP,51.5524,OIL GBP rate for Wednesday 24 October 2018,NA,NA
241,Tuesday 23 October 2018,OIL/GBP,51.0375,OIL GBP rate for Tuesday 23 October 2018,NA,NA
242,Monday 22 October 2018,OIL/GBP,53.6169,OIL GBP rate for Monday 22 October 2018,NA,NA
243,Sunday 21 October 2018,OIL/GBP,53.0515,OIL GBP rate for Sunday 21 October 2018,NA,NA
244,Saturday 20 October 2018,OIL/GBP,53.1938,OIL GBP rate for Saturday 20 October 2018,NA,NA
245,Friday 19 October 2018,OIL/GBP,53.1938,OIL GBP rate for Friday 19 October 2018,NA,NA
246,Thursday 18 October 2018,OIL/GBP,52.8719,OIL GBP rate for Thursday 18 October 2018,NA,NA
247,Wednesday 17 October 2018,OIL/GBP,53.3272,OIL GBP rate for Wednesday 17 October 2018,NA,NA
248,Tuesday 16 October 2018,OIL/GBP,54.7702,OIL GBP rate for Tuesday 16 October 2018,NA,NA
249,Monday 15 October 2018,OIL/GBP,54.4829,OIL GBP rate for Monday 15 October 2018,NA,NA
250,Sunday 14 October 2018,OIL/GBP,55.1289,OIL GBP rate for Sunday 14 October 2018,NA,NA
251,Saturday 13 October 2018,OIL/GBP,54.3592,OIL GBP rate for Saturday 13 October 2018,NA,NA
252,Friday 12 October 2018,OIL/GBP,54.3592,OIL GBP rate for Friday 12 October 2018,NA,NA
253,Thursday 11 October 2018,OIL/GBP,53.7213,OIL GBP rate for Thursday 11 October 2018,NA,NA
254,Wednesday 10 October 2018,OIL/GBP,55.0065,OIL GBP rate for Wednesday 10 October 2018,NA,NA
255,Tuesday  9 October 2018,OIL/GBP,56.8348,OIL GBP rate for Tuesday  9 October 2018,NA,NA
256,Monday  8 October 2018,OIL/GBP,56.7093,OIL GBP rate for Monday  8 October 2018,NA,NA
257,Sunday  7 October 2018,OIL/GBP,56.291,OIL GBP rate for Sunday  7 October 2018,NA,NA
258,Saturday  6 October 2018,OIL/GBP,56.6326,OIL GBP rate for Saturday  6 October 2018,NA,NA
259,Friday  5 October 2018,OIL/GBP,56.6326,OIL GBP rate for Friday  5 October 2018,NA,NA
260,Thursday  4 October 2018,OIL/GBP,57.3365,OIL GBP rate for Thursday  4 October 2018,NA,NA
261,Wednesday  3 October 2018,OIL/GBP,58.8992,OIL GBP rate for Wednesday  3 October 2018,NA,NA
262,Tuesday  2 October 2018,OIL/GBP,57.8994,OIL GBP rate for Tuesday  2 October 2018,NA,NA
263,Monday  1 October 2018,OIL/GBP,57.8392,OIL GBP rate for Monday  1 October 2018,NA,NA
264,Sunday 30 September 2018,OIL/GBP,56.3378,OIL GBP rate for Sunday 30 September 2018,NA,NA
265,Saturday 29 September 2018,OIL/GBP,56.4347,OIL GBP rate for Saturday 29 September 2018,NA,NA
266,Friday 28 September 2018,OIL/GBP,56.4347,OIL GBP rate for Friday 28 September 2018,NA,NA
267,Thursday 27 September 2018,OIL/GBP,55.1651,OIL GBP rate for Thursday 27 September 2018,NA,NA
268,Wednesday 26 September 2018,OIL/GBP,54.7744,OIL GBP rate for Wednesday 26 September 2018,NA,NA
269,Tuesday 25 September 2018,OIL/GBP,54.5773,OIL GBP rate for Tuesday 25 September 2018,NA,NA
270,Monday 24 September 2018,OIL/GBP,55.0714,OIL GBP rate for Monday 24 September 2018,NA,NA
271,Sunday 23 September 2018,OIL/GBP,54.6539,OIL GBP rate for Sunday 23 September 2018,NA,NA
272,Saturday 22 September 2018,OIL/GBP,54.0924,OIL GBP rate for Saturday 22 September 2018,NA,NA
273,Friday 21 September 2018,OIL/GBP,54.0965,OIL GBP rate for Friday 21 September 2018,NA,NA
274,Thursday 20 September 2018,OIL/GBP,52.9035,OIL GBP rate for Thursday 20 September 2018,NA,NA
275,Wednesday 19 September 2018,OIL/GBP,53.9034,OIL GBP rate for Wednesday 19 September 2018,NA,NA
276,Tuesday 18 September 2018,OIL/GBP,52.822,OIL GBP rate for Tuesday 18 September 2018,NA,NA
277,Monday 17 September 2018,OIL/GBP,52.0118,OIL GBP rate for Monday 17 September 2018,NA,NA
